id;the_geom;LAYER;SHAPENAME;BASE
1979-all-3d.1;MULTIPOLYGON (((-66.95559222552546 -106.14967329769286, -54.9576568686439 -105.92708132588277, -54.637571186654064 -123.18002760221408, -66.6355065429657 -123.40261957271788, -66.95559222552546 -106.14967329769286)));2016-chinese-temple;0;
1979-all-3d.2;MULTIPOLYGON (((-82.24553183878105 -121.92188809540957, -71.62002416612714 -121.72475812008182, -71.29993848352619 -138.97770439431295, -81.9254461572544 -139.17483437147345, -82.24553183878105 -121.92188809540957)));2016-chinese-temple;0;
1979-all-3d.3;MULTIPOLYGON (((-96.50928329032264 -137.21783715514974, -94.83311045081953 -116.75643337061724, -85.3200308201473 -117.6941218950623, -86.99620365910356 -138.15552567909285, -96.50928329032264 -137.21783715514974)));2016-wat;0;
1979-all-3d.4;MULTIPOLYGON (((-96.0479288754945 -111.66635930782726, -97.98602946874799 -135.32517172988648, -110.56045833189964 -134.08573107410186, -110.11784028543936 -128.68259700622772, -104.85137279100286 -129.20170399653907, -103.35589024375896 -110.9460256417966, -96.0479288754945 -111.66635930782726)));2016-wat;0;
1979-all-3d.5;MULTIPOLYGON (((-95.39893911984711 -137.32728194449984, -96.16075067526047 -146.62688010008392, -109.50047931825948 -145.31200511113335, -108.73866776315094 -136.01240695619097, -95.39893911984711 -137.32728194449984)));2016-wat;0;
1979-all-3d.6;MULTIPOLYGON (((-112.90313572654392 -76.46220213934261, -85.48025320273928 -79.16523031179321, -86.91823714278883 -95.38900802967278, -114.34111966646131 -92.68597985648081, -112.90313572654392 -76.46220213934261)));2016-wat;0;
1979-all-3d.7;MULTIPOLYGON (((-93.30231698934226 -108.18481400862768, -113.38792704315479 -106.20500864752026, -112.44720254077285 -94.72138151684757, -92.36159248732228 -96.70118688019897, -93.30231698934226 -108.18481400862768)));2016-wat;0;
1979-all-3d.8;MULTIPOLYGON (((-143.5893117674564 -74.14935743331115, -121.84659340375211 -76.29250122049801, -122.94610487578996 -89.71447517304514, -144.6888232389083 -87.57133138701424, -143.5893117674564 -74.14935743331115)));2016-wat;0;
1979-all-3d.9;MULTIPOLYGON (((-155.99947305136973 -77.42556272015791, -143.95494911804528 -78.61277152311828, -144.56975080045433 -86.11778842047175, -156.61427473432926 -84.93057961801128, -155.99947305136973 -77.42556272015791)));2016-wat;0;
1979-all-3d.10;MULTIPOLYGON (((-175.74050167337003 -126.33461941594567, -174.39619228000842 -109.92434438545632, -146.97330975746485 -112.6273725596318, -148.31761914965685 -129.03764758916108, -175.74050167337003 -126.33461941594567)));2016-wat;0;
